Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
东亚与太平洋地区（不包括高收入）,EAP,青春期生育率（每千名 15-19 岁女性生育数）,21.96192948,21.30873644,20.49237652,19.78863521,19.2795043,19.04019296,18.94755376,19.13468774,19.86571936,20.66885648,21.37192919,21.99465397,22.43961382,22.40647283,22.33355102,22.2894996,22.22011503,22.14120926
东亚与太平洋地区,EAS,青春期生育率（每千名 15-19 岁女性生育数）,20.61982526,20.08783605,19.41700125,18.8306497,18.39949846,18.19015037,18.09036746,18.22276204,18.82970676,19.49346934,20.07211404,20.58808173,20.95573975,20.91159052,20.83737778,20.79272915,20.7301823,20.66823116
欧洲与中亚地区（不包括高收入）,ECA,青春期生育率（每千名 15-19 岁女性生育数）,35.71401808,33.57344238,31.4271369,31.35128628,31.29627857,31.25465691,31.20303423,31.12927909,30.81301491,30.53473386,30.27345495,30.03105379,29.79425385,29.16705891,28.53019431,27.87273689,27.18529382,26.46074373
欧洲与中亚地区,ECS,青春期生育率（每千名 15-19 岁女性生育数）,25.5481597,24.35923884,23.15647484,23.10652197,23.03572283,22.92548194,22.75683327,22.52968054,21.98641887,21.46694744,20.97421834,20.47349803,19.96680345,19.36126002,18.77737945,18.21259559,17.64146802,17.0931735
中东与北非地区（不包括高收入）,MNA,青春期生育率（每千名 15-19 岁女性生育数）,44.11337958,42.62982113,41.15746848,41.0428254,40.951605,40.87664641,40.81094493,40.76139856,41.41362302,42.0777135,42.76533886,43.50580026,44.26239788,44.33732096,44.34149383,44.25901576,44.09890258,43.89061607
太平洋岛国,PSS,青春期生育率（每千名 15-19 岁女性生育数）,48.69053081,48.00910616,47.39167584,47.25529289,47.05332596,46.77499024,46.48441038,46.13531447,46.70222459,47.25182639,47.82039688,48.57672851,49.37738859,49.58419475,49.78082739,49.98373239,50.17629672,50.41950061
撒哈拉以南非洲地区（不包括高收入）,SSA,青春期生育率（每千名 15-19 岁女性生育数）,128.3513709,127.2379807,126.1702645,124.870519,123.6043489,122.3612692,121.104557,119.8619061,118.3298687,116.7708046,115.1808462,113.5561182,111.9115485,110.0527442,108.2091024,106.3886147,104.5783017,102.7908548
撒哈拉以南非洲地区,SSF,青春期生育率（每千名 15-19 岁女性生育数）,128.3436038,127.2306364,126.1632096,124.8641613,123.5986116,122.3560468,121.0995927,119.8572052,118.3253248,116.7665031,115.176701,113.5524139,111.9081406,110.0496072,108.2062239,106.385944,104.5758405,102.7885852
