Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,BLZ,青春期生育率（每千名 15-19 岁女性生育数）,97.2162,94.2016,91.187,88.6808,86.1746,83.6684,81.1622,78.656,77.4606,76.2652,75.0698,73.8744,72.679,71.8406,71.0022,70.1638,69.3254,68.487
Bermuda,BMU,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Bolivia,BOL,青春期生育率（每千名 15-19 岁女性生育数）,86.5276,86.1188,85.71,84.9532,84.1964,83.4396,82.6828,81.926,80.1186,78.3112,76.5038,74.6964,72.889,71.2912,69.6934,68.0956,66.4978,64.9
Brazil,BRA,青春期生育率（每千名 15-19 岁女性生育数）,82.21,81.526,80.842,78.904,76.966,75.028,73.09,71.152,69.7322,68.3124,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111
Barbados,BRB,青春期生育率（每千名 15-19 岁女性生育数）,51.1212,50.8186,50.516,49.8788,49.2416,48.6044,47.9672,47.33,46.4058,45.4816,44.5574,43.6332,42.709,40.8772,39.0454,37.2136,35.3818,33.55
Brunei Darussalam,BRN,青春期生育率（每千名 15-19 岁女性生育数）,27.4754,27.0112,26.547,24.849,23.151,21.453,19.755,18.057,17.3338,16.6106,15.8874,15.1642,14.441,13.6072,12.7734,11.9396,11.1058,10.272
Bhutan,BTN,青春期生育率（每千名 15-19 岁女性生育数）,77.1602,73.1576,69.155,64.9028,60.6506,56.3984,52.1462,47.894,43.913,39.932,35.951,31.97,27.989,26.428,24.867,23.306,21.745,20.184
Botswana,BWA,青春期生育率（每千名 15-19 岁女性生育数）,59.1762,55.4586,51.741,51.1248,50.5086,49.8924,49.2762,48.66,48.558,48.456,48.354,48.252,48.15,47.7322,47.3144,46.8966,46.4788,46.061
Central African Republic,CAF,青春期生育率（每千名 15-19 岁女性生育数）,149.054,148.511,147.968,147.1534,146.3388,145.5242,144.7096,143.895,142.809,141.723,140.637,139.551,138.465,136.5868,134.7086,132.8304,130.9522,129.074
Canada,CAN,青春期生育率（每千名 15-19 岁女性生育数）,16.8338,15.7394,14.645,14.4514,14.2578,14.0642,13.8706,13.677,13.2404,12.8038,12.3672,11.9306,11.494,10.8726,10.2512,9.6298,9.0084,8.387
